,id,age,category,category_type,semantic_field,network,n,m,c,pl,ed,d
32,45,92.01,animals,taxonomic,animal_field,esn,27,19,0.22469135802469134,2.1784037558685445,0.05413105413105413,2.367816091954023
33,46,94.28,animals,taxonomic,animal_field,esn,16,8,0.09375,1.4666666666666666,0.06666666666666667,1.7692307692307692
34,47,68.15,animals,taxonomic,animal_field,esn,22,23,0.3151515151515151,2.2586206896551726,0.09956709956709957,2.5428571428571427
35,48,65.28,animals,taxonomic,animal_field,esn,15,9,0.1,1.8082191780821917,0.08571428571428572,1.7872340425531914
36,49,65.28,animals,taxonomic,animal_field,esn,15,9,0.09333333333333332,1.7011494252873562,0.08571428571428572,1.836734693877551
0,7,92.3,foods,taxonomic,food_field,nrw,31,34,0.043010752688172046,5.8772112382934445,0.07311827956989247,2.193548387096774
1,8,75.18,foods,taxonomic,food_field,nrw,20,22,0.0,3.265,0.11578947368421053,2.2
2,9,89.02,foods,taxonomic,food_field,nrw,20,28,0.04833333333333333,2.905,0.14736842105263157,2.8
3,10,64.24,foods,taxonomic,food_field,nrw,14,16,0.07142857142857142,2.704081632653061,0.17582417582417584,2.2857142857142856
4,11,76.15,foods,taxonomic,food_field,nrw,19,24,0.17543859649122806,3.257617728531856,0.14035087719298245,2.526315789473684
5,12,74.28,foods,taxonomic,food_field,nrw,15,18,0.1888888888888889,3.2888888888888888,0.17142857142857143,2.4
6,13,60.12,foods,taxonomic,food_field,nrw,13,18,0.15897435897435896,2.106508875739645,0.23076923076923078,2.769230769230769
7,14,96.3,foods,taxonomic,food_field,nrw,27,32,0.0,5.289437585733882,0.09116809116809117,2.3703703703703702
8,15,95.22,foods,taxonomic,food_field,nrw,25,29,0.055999999999999994,4.0832,0.09666666666666666,2.32
9,18,82.27,foods,taxonomic,food_field,nrw,22,25,0.0,4.210743801652892,0.10822510822510822,2.272727272727273
10,19,84.25,foods,taxonomic,food_field,nrw,24,30,0.1125,3.9409722222222223,0.10869565217391304,2.5
11,20,68.1,foods,taxonomic,food_field,nrw,14,14,0.0,2.9489795918367347,0.15384615384615385,2.0
12,21,74.26,foods,taxonomic,food_field,nrw,12,19,0.21031746031746032,1.9305555555555556,0.2878787878787879,3.1666666666666665
13,22,84.1,foods,taxonomic,food_field,nrw,19,28,0.17017543859649123,2.8033240997229916,0.16374269005847952,2.9473684210526314
14,23,71.03,foods,taxonomic,food_field,nrw,14,14,0.0,3.704081632653061,0.15384615384615385,2.0
